,Unnamed: 0,Arquivo,spectral_centroid,spectral_rolloff,spectral_flux,rms,zero_crossing_rate,tempo,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,chroma_cens_1,chroma_cens_2,chroma_cens_3,chroma_cens_4,chroma_cens_5,chroma_cens_6,chroma_cens_7,chroma_cens_8,chroma_cens_9,chroma_cens_10,chroma_cens_11,chroma_cens_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_contrast_7,tonnetz_1,tonnetz_2,tonnetz_3,tonnetz_4,tonnetz_5,tonnetz_6,label_x,label_x,label_y
0,6,1041500.mp3,878.0396613289585,1563.0072153758704,0.79508305,0.0928462,0.06290967250386997,135.99917763157896,-315.0072,190.28682,-9.598104,3.5110888,18.574820000000006,-7.571803,-6.4223,-9.636122,-17.404770000000006,-12.997065,-18.92605,-23.143524,-10.130965,-3.2586037999999995,-0.40185925,3.586896,-2.4509284,-7.705928,-4.5205015999999985,0.3308232,0.3547836667113039,0.17565180504589947,0.1599462758478635,0.1902731772886392,0.3185787664342926,0.2905963348182785,0.107298697948242,0.0356669053931673,0.15846890977386713,0.2898888252532336,0.3823314787309612,0.4371043180611329,19.604207079324752,19.91924622492964,24.497361063052374,25.176824126528462,29.613350661947752,28.25479994275747,33.12356868626354,0.03191889636831155,-0.010941681507923531,-0.005551449663040562,0.04533124574623866,-0.024832980628202123,-0.005839596229071807,0,37,melodic
1,11,1062500.mp3,1183.7621444866995,1818.2556719233746,0.81565964,0.14520238,0.062147394422407125,129.19921875,-196.21638,156.6912,19.974361,13.838299,8.565889,6.659503,-0.43576404,4.5365199999999986,-9.156853,9.396621,-9.894879,0.6428709,-10.127811,-0.944542,-3.9844136,3.8399832,-3.6433966,1.488061,-1.4224166,0.38346046,0.14024456273122154,0.1985406951171776,0.31071682897122777,0.22528084582236715,0.12573736577304925,0.11437011491276168,0.3533956619565973,0.4716138406703549,0.3500353831983056,0.1222204311323073,0.11040263935592297,0.1967435009274712,21.42777955337816,21.33793979321736,23.56038280695745,22.13616070410078,20.444419711469397,16.965564932792685,32.922657882510464,0.043125104218900034,0.01700394518446682,0.1504725676587831,-0.04699639144926556,0.010510519076042106,-0.01640115578951867,0,6,calm
2,20,1081000.mp3,328.0225774620897,550.2050063189338,0.4695991,0.058723815,0.022281422334558824,71.77734375,-425.00308,199.6525,73.47787,12.945077,15.292129,15.082335999999998,1.3494191999999998,-3.3150284,-0.4700634,-1.1057763,-0.94314,3.1238425,3.6388326,-1.5883963,-5.561221,-6.1268935,-7.296396700000002,-9.222024,-9.001780499999997,-7.2891216,0.4574468218681391,0.3192900753205369,0.13599853011801105,0.15837030367172492,0.2293704045362077,0.1350064812267414,0.17787351352305664,0.2599212978709836,0.14660044163567654,0.03331121557755588,0.07221572141889815,0.3640453336530204,29.72352806486927,20.043422496218646,26.926217114636845,27.30644578042161,28.701822601817412,17.4193748908542,29.282539296441232,0.027048797521671653,0.02710967442466579,0.09555184401901108,0.15939900806006055,0.012474878693436931,0.009606374195081271,0,27,happy
3,21,1082100.mp3,1797.4093887190695,3707.1775832043345,0.8781674,0.050478246,0.07517112519349846,117.45383522727272,-304.11435,91.56508,5.584773,27.373016,8.681508000000001,1.9348584,2.1267874,2.2793555,1.933822,9.093138,-6.7658644,-1.7609947,3.615435100000001,-4.5499372000000005,-8.027796,3.1874514,-3.7326267,-3.6134229,-0.05998445,12.030293,0.3227580064836921,0.3748589446376253,0.3180986265756759,0.1613887935079677,0.21851986635221546,0.21367973217958425,0.16661182987800116,0.10181996924149343,0.1449058376007681,0.09128745862535018,0.07363722936490841,0.08729679021533457,19.821663245987054,21.944037037620735,25.43881554912829,27.28593617796539,27.838780664892248,26.571880417858626,39.254166677308696,-0.029232109010766488,0.0039479013855025615,-0.13158879073314647,0.0408568302958768,0.00990132364368227,-0.005886114759372429,0,33,love
4,22,1084200.mp3,1151.642295741488,2465.0517608359132,0.9963999,0.06438427,0.041691357875387004,123.046875,-286.4252600000001,134.4533,-1.0460598,49.08773400000001,12.912835,9.569976,8.228973,12.7934265,0.22307943,6.489329,4.6817827,9.986068,7.0830946,12.057476,1.6804371,-4.0981927,-3.6088195,7.5053296,3.5479453000000003,-2.82853,0.13492489888941395,0.2149140365691144,0.2652726565809499,0.2425144553091861,0.2477229613860349,0.1964920507831043,0.12737068541882113,0.10403709970192238,0.2902311592394969,0.4438902369432456,0.375119532465766,0.1624338825280006,19.969294481614014,12.955842152902921,18.04343960414633,21.11952250536701,23.481236100874252,24.378557607618564,38.09444508909608,0.01389156721573655,0.0094599643668914,-0.0971817617294022,-0.02243313833267099,0.0030929564545065518,0.004131475284906494,0,55,trailer
5,34,1109900.mp3,1064.5592500283929,1812.822371444466,1.7159163,0.038206935,0.09326171875,129.19921875,-481.65698,103.927246,35.120605,-6.786531,-8.391305000000001,-10.817607,-18.573238,-15.873812,-16.1937,-9.535781,-4.5144134000000005,-2.8886990000000003,-7.1464686,-9.969991,-7.648538,-3.1838062000000003,4.5501494000000005,1.7559707999999998,-6.1270943,-12.425947,0.07585968096336937,0.20156427979700625,0.2529564953222596,0.3393792957842888,0.3588264823418092,0.2391342345933575,0.051912757768246234,0.051487403991448376,0.28404510751764833,0.3975558674445811,0.2637999794610679,0.036222135200735736,14.895772595729255,15.858949132073025,26.953688506256753,29.12397946495246,25.34694751149773,18.446747054678603,34.54159572336397,0.04195151423400258,-0.0021885489295910827,-0.14590126897786224,0.04282367612393274,0.00842016912602391,0.00880291303329695,0,2,advertising
6,35,1110000.mp3,2360.878678627359,5337.017727783958,2.2938044,0.152384,0.07078453040344428,95.703125,-142.51863,79.22372,12.988899,29.923502000000006,10.207298,15.173507999999998,9.420955,9.918888,2.4954110000000003,10.0078745,1.5995215,2.2204375,-3.704728,4.1797523000000005,-3.8219945,0.29052967,-5.5061792999999986,-0.9311339,-7.3800907,2.5774417,0.2762110847757814,0.2419114617889984,0.27170752670903203,0.24555428042231064,0.21536540951846464,0.26461132758804473,0.341718465745257,0.3474976690063353,0.2894146669658046,0.2224724490784337,0.24893574812963234,0.26786832370867497,23.345283101608658,16.02989482434303,16.98666757849206,17.016634880337538,16.810199789337393,15.514491981308096,30.14099338135631,0.001954282810057927,0.013085893853344216,0.028818501681334582,-0.02245645426907128,0.00017896528594818666,-0.0017460299568730693,0,23,fun
7,36,1110500.mp3,464.0561475888549,413.4474999395317,0.7260397,0.13697436,0.03144047503869968,99.38401442307692,-386.29376,106.881,62.421997,25.348825,14.081282,7.8813243,-3.8233464,-17.865215,-18.541306,-15.378666,-17.442064000000002,-16.614439,-17.446832999999998,-8.411866999999999,-4.550578,-4.1604276,-5.995663,1.7288886000000003,6.1603684,11.94045,0.429232929879886,0.3733580030250603,0.1044987685278636,0.12509842559286152,0.19635667342790625,0.1936972396954727,0.17145993892759098,0.1897608594242551,0.15447367622656544,0.05353714783497336,0.05123192271104411,0.2596679037154185,19.453612025014728,25.98468395820393,21.13270380527973,25.40328327986619,28.144595988765545,28.820706357575865,41.39800947624361,-0.0027772176485557657,0.04662932254935898,-0.0175910259427242,0.19403636237352012,0.012024565861839328,0.019137699723520408,0,58,uplifting
8,37,1112000.mp3,792.2350296965977,1478.5827258792083,1.0052299999999998,0.08907738,0.0456769724748452,99.38401442307692,-291.83762,180.2133,8.569114,24.795311,32.25691,-10.2806425,-21.605597,-5.372113,-10.464833,-10.773237,-7.520453999999999,-11.514726,-16.912724,-15.144193,-7.801532000000001,-2.1684802000000003,-4.8308825,0.08913599,1.3772022,-7.3652782,0.2060368200685892,0.28190336575714897,0.22035200481482176,0.2160575036644595,0.3009834284959834,0.20959411977175094,0.11141592746803136,0.17235078802891618,0.37486078949624135,0.3937415093730715,0.2442032854989051,0.14335916821436254,29.208940283978162,20.292487768620624,25.933868648081212,26.97418944501809,25.835791048212517,22.27818222749812,26.97261711433377,0.009961396625125836,-0.03077458896821585,-0.10006260325464418,0.08647565114012709,0.004433836419751157,-0.007992595909535034,0,27,happy
9,38,1115700.mp3,1039.1355363477476,2103.3122815583883,1.3880377,0.18286932,0.03559653456366098,129.19921875,-192.61026,141.77101000000005,3.1700897,40.38197,20.823153,16.340675,4.9371758,6.7377152,-5.93484,2.4148781,-2.8680525,-1.1904739,2.2092464,0.16496906,-6.4425907,-3.942271,-3.4240692000000004,0.9798205,-6.246678,-14.493262,0.11497094737317813,0.2444750522723597,0.23617634319990274,0.258612603480321,0.292553540137245,0.22010194340363293,0.13400179063072518,0.11612976755166712,0.37145715022437614,0.5030114335308593,0.3688037744146334,0.12171418005072805,32.16019098393569,18.85596638557704,22.678911742586656,20.87883483327328,19.602793934670718,18.878677224376933,32.648213863774195,0.023860944127387283,-0.02004586930387619,-0.1481415255962134,0.014419153377914697,0.005523488325545368,0.014267385185097188,0,37,melodic
